case_id,opened_at,trigger_type,trigger_text,flagged_txn_id,card_id,customer_id,risk_score,source
MON-011,2016-12-03 13:30:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C05766-K1. Review transaction 3509706.,3509706,C05766-K1,C05766,0.29,structure_scan
MON-012,2016-11-21 10:30:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C05851-K1. Review transaction 3475414.,3475414,C05851-K1,C05851,0.07,structure_scan
MON-013,2016-12-03 20:30:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C06881-K1. Review transaction 3511062.,3511062,C06881-K1,C06881,0.24,structure_scan
MON-014,2016-11-28 19:44:17,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C09868-K1. Review transaction 3495315.,3495315,C09868-K1,C09868,0.07,structure_scan
MON-015,2016-11-24 17:21:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C10751-K1. Review transaction 3483895.,3483895,C10751-K1,C10751,0.21,structure_scan
MON-016,2016-11-21 16:24:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C10990-K1. Review transaction 3476008.,3476008,C10990-K1,C10990,0.17,structure_scan
MON-017,2016-11-29 19:36:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C12641-K2. Review transaction 3498092.,3498092,C12641-K2,C12641,0.14,structure_scan
MON-018,2016-12-26 15:11:58,risk_score,Autonomous monitor (structure_scan): 3 online purchases between $400 and $500 within an hour on card C12865-K1. Review transaction 3576415.,3576415,C12865-K1,C12865,0.08,structure_scan
MON-019,2016-11-28 01:44:44,risk_score,Autonomous monitor (structure_scan): 3 online purchases between $400 and $500 within an hour on card C12897-K1. Review transaction 3493541.,3493541,C12897-K1,C12897,0.39,structure_scan
MON-020,2016-12-03 12:32:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3509581.",3509581,C01289-K1,C01289,0.04,ring_scan
MON-021,2016-11-29 11:09:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3496814.",3496814,C01996-K2,C01996,0.14,ring_scan
MON-022,2016-12-04 11:17:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3512532.",3512532,C02910-K1,C02910,0.29,ring_scan
MON-023,2016-11-29 15:59:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3497394.",3497394,C02975-K1,C02975,0.05,ring_scan
MON-024,2016-12-04 08:54:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3512487.",3512487,C03676-K2,C03676,0.13,ring_scan
MON-025,2016-11-18 14:15:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3467635.",3467635,C04108-K2,C04108,0.29,ring_scan
MON-026,2016-11-28 15:34:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3494535.",3494535,C04274-K1,C04274,0.08,ring_scan
MON-027,2016-11-29 17:12:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3497639.",3497639,C05448-K2,C05448,0.02,ring_scan
MON-028,2016-11-25 13:57:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3486052.",3486052,C06031-K2,C06031,0.04,ring_scan
MON-029,2016-11-30 17:48:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3500876.",3500876,C06650-K2,C06650,0.13,ring_scan
MON-030,2016-12-02 10:38:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3506095.",3506095,C06710-K1,C06710,0.24,ring_scan
MON-031,2016-12-04 11:47:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3512563.",3512563,C07472-K1,C07472,0.1,ring_scan
MON-032,2016-11-29 14:51:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3497201.",3497201,C08168-K1,C08168,0.03,ring_scan
MON-033,2016-11-29 17:50:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3497753.",3497753,C08972-K2,C08972,0.13,ring_scan
MON-034,2016-12-03 18:39:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3510657.",3510657,C09049-K1,C09049,0.12,ring_scan
MON-035,2016-12-02 13:30:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3506403.",3506403,C09195-K1,C09195,0.21,ring_scan
MON-036,2016-11-27 16:18:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3491793.",3491793,C09906-K1,C09906,0.23,ring_scan
MON-037,2016-12-01 15:40:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3503526.",3503526,C09975-K2,C09975,0.18,ring_scan
MON-038,2016-11-27 08:20:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3491089.",3491089,C10020-K1,C10020,0.18,ring_scan
MON-039,2016-11-25 18:42:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3486816.",3486816,C10193-K2,C10193,0.13,ring_scan
MON-040,2016-12-02 20:19:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3507840.",3507840,C10326-K1,C10326,0.19,ring_scan
MON-041,2016-11-20 22:32:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3474445.",3474445,C11082-K1,C11082,0.03,ring_scan
MON-042,2016-11-24 14:07:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3483381.",3483381,C11670-K2,C11670,0.1,ring_scan
MON-043,2016-12-01 15:03:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3503405.",3503405,C11702-K1,C11702,0.02,ring_scan
MON-044,2016-11-27 09:48:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3491111.",3491111,C12645-K1,C12645,0.15,ring_scan
MON-045,2016-11-18 18:35:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3468363.",3468363,C12796-K1,C12796,0.1,ring_scan
MON-046,2016-11-25 17:11:00,risk_score,"Autonomous monitor (ring_scan): device profile SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080 on 28 cards in 19 days, marked New and behind a proxy on every use. Review transaction 3486552.",3486552,C13291-K1,C13291,0.04,ring_scan
MON-047,2016-11-15 04:18:01,risk_score,Autonomous monitor (model_monitor): assay model 0.80 vs bank risk score 0.19. Review transaction 3459158.,3459158,C01104-K2,C01104,0.19,model_monitor
MON-048,2016-11-01 07:50:37,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.26. Review transaction 3418191.,3418191,C07686-K1,C07686,0.26,model_monitor
MON-049,2016-11-01 17:50:32,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.11. Review transaction 3419337.,3419337,C04062-K1,C04062,0.11,model_monitor
MON-050,2016-11-01 12:23:23,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.06. Review transaction 3418308.,3418308,C05290-K2,C05290,0.06,model_monitor
MON-051,2016-11-10 11:26:56,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.28. Review transaction 3446076.,3446076,C06962-K2,C06962,0.28,model_monitor
MON-052,2016-11-01 20:50:14,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.18. Review transaction 3420054.,3420054,C09119-K1,C09119,0.18,model_monitor
MON-053,2016-11-02 08:26:22,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.04. Review transaction 3421569.,3421569,C06279-K1,C06279,0.04,model_monitor
MON-054,2016-11-02 02:25:14,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.14. Review transaction 3421162.,3421162,C08391-K2,C08391,0.14,model_monitor
MON-055,2016-11-04 02:13:15,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.20. Review transaction 3428197.,3428197,C00071-K1,C00071,0.2,model_monitor
MON-056,2016-11-04 03:06:32,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.23. Review transaction 3428323.,3428323,C13370-K1,C13370,0.23,model_monitor
MON-057,2016-11-03 02:21:04,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.26. Review transaction 3424848.,3424848,C06130-K1,C06130,0.26,model_monitor
MON-058,2016-11-05 17:57:26,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.23. Review transaction 3432754.,3432754,C07562-K2,C07562,0.23,model_monitor
MON-059,2016-11-06 02:35:46,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.07. Review transaction 3434468.,3434468,C11444-K1,C11444,0.07,model_monitor
MON-060,2016-11-07 05:04:41,risk_score,Autonomous monitor (model_monitor): assay model 0.78 vs bank risk score 0.14. Review transaction 3437584.,3437584,C11787-K1,C11787,0.14,model_monitor
